ds,yhat,yhat_lower,yhat_upper
2020-01-06,11189.709114948999,6579.2966426754465,15655.766995652204
2020-01-07,13444.15385570621,8762.885522261915,18471.93624130918
2020-01-08,13674.652690416728,9067.61341158991,18238.69797225036
2020-01-09,13621.043742488262,9064.585118573914,18156.740333166406
2020-01-10,13038.970445239502,8494.864130970813,17420.459756089695
2020-01-11,4963.426268771536,474.91550107237583,9787.88205091273
2020-01-12,3608.6367002659517,-516.2316762902785,8326.031552423306
2020-01-13,12618.147661716255,7675.920469126251,16971.404738416564
2020-01-14,14945.998418032912,10545.3706042851,19656.042881215213
2020-01-15,15226.600564844066,10672.698012945002,19948.476696994043
2020-01-16,15201.068317485895,10773.784141551765,19819.20797368894
2020-01-17,14626.714311886526,10193.961319689945,19325.08608580674
2020-01-18,6540.538901596727,2176.374920353419,11126.863123268726
2020-01-19,5159.050316569248,523.055732065641,9716.841801144374
2020-01-20,14128.286510230846,9367.044610852297,18619.81498503713
2020-01-21,16404.918477059895,11410.423492131493,20915.341686340522
2020-01-22,16626.058403716524,12046.314230985316,21150.793036578365
2020-01-23,16535.519647196525,11880.846283296525,21023.9673848745
2020-01-24,15893.244477095901,11314.962241866238,20611.194664163315
2020-01-25,7738.7292040324755,2922.13609058545,12239.014467358877
2020-01-26,6290.785569236214,1862.5997741135627,10864.568983035138
2020-01-27,15197.510566555968,10545.24349836264,19566.38360463918
2020-01-28,17417.345627427647,12938.913696747639,21840.207364264385
2020-01-29,17588.849458342036,12589.886835329227,22207.928011991855
2020-01-30,17456.932207093527,12922.355557863397,22218.988972048584
2020-01-31,16782.26732277256,11977.01604776293,21420.528037634293
2020-02-01,8604.710895363292,3946.217633218928,12896.91898351383
2020-02-02,7143.067251711403,2794.0517302735425,11551.71059239182
2020-02-03,16045.072623145696,11358.015796532949,20776.03753124922
2020-02-04,18268.47721887342,13543.43712658072,23008.290421931608
2020-02-05,18450.849172151335,14159.940941971921,23334.16581190225
2020-02-06,18335.84701785581,13711.011057977421,23137.988783410736
2020-02-07,17682.675878087866,12887.749543036398,21991.8613840844
2020-02-08,9529.555820734526,4775.753520513215,14303.514264861406
2020-02-09,8093.539749202061,3696.1452717562047,12637.917549541631
2020-02-10,17020.551162019223,12268.99413467233,21160.648593373036
2020-02-11,19266.5206219302,14455.941403434854,23698.01940590974
2020-02-12,19467.242929491105,14796.539314369571,23491.639731809275
2020-02-13,19364.700248239933,14439.306749807582,23886.117215352784
2020-02-14,18716.565044893367,13867.685571228514,23332.27371533973
2020-02-15,10559.710127361035,6363.481746627573,15121.96479296927
2020-02-16,9110.062117846535,4358.61771502793,13663.622976217406
2020-02-17,18012.66786460612,13653.570645551325,22578.872409326927
2020-02-18,20222.852002775428,15682.79229671001,25060.403251239793
2020-02-19,20376.087248648728,15685.973431575678,25144.22217978053
2020-02-20,20214.322491365943,15704.376809168252,24774.13133040231
2020-02-21,19495.48259017441,14644.643072133302,24283.970542085513
2020-02-22,11256.967428532564,6648.810365846373,15785.438252881184
2020-02-23,9715.487042319743,4908.548538472233,14232.108794145473
2020-02-24,18517.103003206103,14095.836464887825,23038.888553037945
2020-02-25,20618.35511704009,16299.376182695412,25247.47636811345
2020-02-26,20656.096020853107,16059.214770844426,25266.66853002341
2020-02-27,20373.77985819016,15714.756695883465,25110.58690974316
2020-02-28,19530.92014219696,14870.970000557118,24155.630888762586
2020-02-29,11166.545608580696,6567.794999780839,15724.007036968611
2020-03-01,9498.99214117281,4869.842670517615,13945.021310008382
2020-03-02,18175.902194549624,13322.962891457388,22902.63361770343
2020-03-03,20155.311961198895,15925.186966933068,24713.61727592987
2020-03-04,20075.44996077141,15181.055857046142,24767.15562661527
2020-03-05,19680.994217058556,15236.016460352188,24113.01524200597
2020-03-06,18732.503956477343,14036.058799691884,23608.19998864913
2020-03-07,10269.85529867659,5896.728833391082,15056.226711729305
2020-03-08,8512.019500816594,3982.7580478672025,13111.191391016077
2020-03-09,17107.05546280874,12822.134824784926,21736.95959697166
2020-03-10,19013.196820859062,14158.278098348785,23686.421865098244
2020-03-11,18868.657187619843,14211.157501983016,23847.919022319962
2020-03-12,18417.900376968737,13676.550233961681,22997.56118149904
2020-03-13,17421.09104830048,12860.295392999953,22158.665344445915
2020-03-14,8917.554560451943,4348.644351088503,13351.30246810572
2020-03-15,7125.5837714321715,2631.3147529826288,11558.74235495604
2020-03-16,15692.463541484403,11331.118897062202,20275.021387156616
2020-03-17,17575.592220819795,12826.232081487524,21840.370192475966
2020-03-18,17412.32257036503,12767.93165665505,22079.830872295828
2020-03-19,16946.267811094116,12283.382202309958,21260.759903190734
2020-03-20,15936.787096563516,11162.627832405728,20421.01160642704
2020-03-21,7422.47809288323,2924.6890010654183,11905.461282559141
2020-03-22,5621.013364397289,838.3267201008262,10318.66568987988
2020-03-23,14179.190380403206,9773.369608394829,18945.578500965596
2020-03-24,16054.073608796412,11416.646619949064,20458.06498074783
2020-03-25,15882.85047586001,10940.090748204877,20531.067593334516
2020-03-26,15409.146387601231,10654.95681930657,20005.300496474643
2020-03-27,14392.51278905165,9925.395729553502,18584.07849512797
2020-03-28,5871.9158194254005,1158.3892213479453,10261.67746243896
2020-03-29,4065.5623307364685,-527.2100707438051,8499.388167314995
2020-03-30,12620.93334895515,7989.106019791105,17748.5053084053
2020-03-31,14495.903894453262,10099.131074536852,19291.035267938572
2020-04-01,14328.571566171233,10048.618942628502,18788.078425845553
2020-04-02,13863.53986798362,9934.388684101345,18421.23076503595
2020-04-03,12861.371171900657,8491.061732160422,17508.439884472475
2020-04-04,4362.037904323666,102.2910700601684,8757.891115104745
2020-04-05,2584.7098318988756,-1911.1579301940296,7107.919798672072
2020-04-06,11177.748685847078,6179.577882590386,15579.729705548443
2020-04-07,13099.790216136484,8640.643933702966,17879.59570214651
2020-04-08,12989.537241847402,8482.767415645234,17260.866290022703
2020-04-09,12592.010785454882,8123.577509539856,17129.978291725292
2020-04-10,11667.975216744257,7305.622522045278,16517.020587328938
2020-04-11,3257.3669119146152,-1159.0914906952946,8017.813206153539
2020-04-12,1579.0650872026563,-2831.1986565896486,6172.629675020635
2020-04-13,10280.87666834374,5760.185980535616,14860.951662676198
2020-04-14,12320.615731416456,7875.765835083005,17118.69235396746
2020-04-15,12335.901332263225,7781.107796435277,17021.11483954988
2020-04-16,12070.42086223455,7665.998258658383,16622.828304498576
2020-04-17,11283.374701238816,6533.444018925336,15304.919240616911
2020-04-18,3012.9313165952362,-1723.71121564795,7890.523094131365
2020-04-19,1476.0309154559109,-2833.0420263227043,6129.2388354523655
2020-04-20,10318.408779483565,5732.953175207792,14834.894669944526
2020-04-21,12495.717920929781,7775.834762123406,17146.12093948017
2020-04-22,12643.373840514538,7803.819132253438,16841.999261598667
2020-04-23,12502.867373580437,7742.987365571312,17149.98427504767
2020-04-24,11831.260159606696,7502.65897552938,16025.412285562135
2020-04-25,3664.6905950174287,-839.12786139106,8268.187905637484
2020-04-26,2218.227069423663,-2222.4710409767163,6918.737320656809
2020-04-27,11135.938321457857,6674.5550059433235,15640.512304879594
2020-04-28,13372.059310731234,8492.897056156713,17816.67942569164
2020-04-29,13560.87422448662,8969.481433128916,18285.27343323212
2020-04-30,13443.061558731413,8718.011693813827,18152.798719125265
2020-05-01,12775.21490136811,7652.9234441441395,17214.38904496313
2020-05-02,4593.366536835187,-279.0476250414664,9302.93268284096
2020-05-03,3112.85011756536,-1217.437009529147,7745.277899150886
2020-05-04,12007.704826777506,7353.46317246537,16731.447870163192
2020-05-05,14203.834580416169,10002.487350873682,18923.198633614356
2020-05-06,14336.873378294946,9806.27397312561,18939.159702030327
2020-05-07,14149.172621646765,9557.701225874624,18612.792544669315
2020-05-08,13399.28923550669,8653.417204372043,18084.6815315198
2020-05-09,5125.469476042992,506.91894350236606,9662.99205613779
2020-05-10,3545.465552767134,-1367.9846745803113,8016.364589873083
2020-05-11,12306.555594341007,7987.261412942883,17001.772996379575
2020-05-12,14366.646394662108,9637.513854271438,18962.764098799904
2020-05-13,14364.081922574991,9873.980941520054,19013.521566395975
2020-05-14,14043.904190541527,9652.869550753136,18474.679021476873
2020-05-15,13167.282018225014,8610.633727581146,17764.507561046164
2020-05-16,4774.936924245368,47.24623992745231,9325.59956585639
2020-05-17,3086.904659782801,-1652.622855352976,7336.474637413412
2020-05-18,11752.504234209042,7351.127023667135,16296.026362080089
2020-05-19,13731.395096328168,9462.658834896763,18166.333746056946
2020-05-20,13663.34655523758,8996.600323134197,18232.503735592938
2020-05-21,13294.466986183199,8670.457638284053,17705.32240616692
2020-05-22,12386.609129520639,7674.3818989201945,16902.231407159197
2020-05-23,3980.7812949651625,-946.740728039077,8839.865403995378
2020-05-24,2296.9033534547134,-2401.396530313773,7109.5563214800795
2020-05-25,10983.779518054238,6084.42090116761,15528.874712716271
2020-05-26,13000.168506074675,8085.688115076249,17417.87529903708
2020-05-27,12984.574875725948,8269.805086578337,17503.795564543278
2020-05-28,12681.508577847831,8296.882619390839,17479.247267903276
2020-05-29,11850.928326308904,7153.037642677915,16195.726274218548
2020-05-30,3531.6977102682395,-1409.7362042792934,8162.548657677128
2020-05-31,1941.391880692664,-3075.9986856991222,6648.796769458595
2020-06-01,10726.325624398485,5999.7160483468915,15253.193158912612
2020-06-02,12842.682123802047,7992.244069648671,17399.11952320727
2020-06-03,12926.364823272417,8451.47277066352,17178.340554668084
2020-06-04,12719.318027020372,8288.298320388825,17459.92514639144
2020-06-05,11979.03040665696,7430.666179003764,16414.078027950298
2020-06-06,3742.0489395566665,-898.3507861014958,8329.854464826532
2020-06-07,2223.8397656415364,-2511.8844899597957,6699.533639238388
2020-06-08,11068.865519613124,6692.652142823267,15939.918223461105
2020-06-09,13231.757298764607,8698.883681247831,17887.70340092608
2020-06-10,13347.202693321697,8834.037364566617,18006.925484352207
2020-06-11,13156.294677774065,8521.809057557612,17938.571508936297
2020-06-12,12416.054900605448,7852.504983552107,17040.627331285363
2020-06-13,4162.958453010586,-278.6141131711606,8835.328407012372
2020-06-14,2612.7963728866134,-1613.8870913367573,6993.444826573331
2020-06-15,11410.745424168003,6956.6499405398745,16206.364695073707
2020-06-16,13512.523506756905,9010.806363066742,18190.279646829506
2020-06-17,13554.25252801196,8874.3110912072,18106.180771013296
2020-06-18,13278.774133503626,8600.477510354714,18139.753553163206
2020-06-19,12445.13261689229,8107.992063783753,17076.07642180141
2020-06-20,4092.0530339874686,-685.6773091512307,8670.634657427037
2020-06-21,2437.7518615425442,-2293.059742458275,7012.365710897926
2020-06-22,11129.95093996042,6279.54773820281,15855.392137689263
2020-06-23,13126.974338516853,8536.263409067791,17892.459378643332
2020-06-24,13067.55131487892,8790.304761896388,17482.376690180554
2020-06-25,12697.072130630851,8396.72982138102,17664.458106929727
2020-06-26,11777.012400869497,7368.466326910048,16414.22753351333
2020-06-27,3348.3553230461584,-1307.5104639893261,8222.206270808396
2020-06-28,1631.3503786981864,-3004.514271626991,5872.704285784899
2020-06-29,10275.480404692764,5759.3012360364,14811.466533801318
2020-06-30,12240.517709813956,7761.058770077201,17472.34217732158
2020-07-01,12166.293301657865,7135.00833586932,16510.92945926612
2020-07-02,11798.926717050432,7118.82393458864,16158.95191315499
2020-07-03,10900.232687809701,6309.314287278162,15111.586149879466
2020-07-04,2521.695605485609,-2115.297488611785,7336.673107190406
2020-07-05,872.5442828408886,-3851.0674933910996,5154.8195718573115
2020-07-06,9601.411413508864,4708.640203900979,14065.150637580586
2020-07-07,11666.845651330457,7120.999218010172,15800.95508850353
2020-07-08,11707.106229035711,7417.023599409732,16191.05848893625
2020-07-09,11466.425768102032,6729.465492684117,16009.124862287883
2020-07-10,10704.45675860591,6074.66018303712,15071.090985323448
2020-07-11,2459.7305222317973,-1946.2052503552018,7169.421434684245
2020-07-12,949.4663998714896,-3884.280786535519,5809.852505553189
2020-07-13,9819.601910020854,5075.044203843326,14307.110920722629
2020-07-14,12025.923132965672,7463.7325767950415,16877.29125462581
2020-07-15,12203.917726545316,7269.658497109827,16787.09441730595
2020-07-16,12095.096210010272,7661.231225401136,16557.15110638026
2020-07-17,11456.495732458567,7007.0309143361765,16199.987077686194
2020-07-18,3324.1939105070624,-1266.999964287192,7851.206927952519
2020-07-19,1913.1693080632067,-2540.9246648264234,6337.309510731403
2020-07-20,10867.378220614923,6751.933745210252,15609.119664786282
2020-07-21,13140.926041871755,8821.902916625633,17592.747832856705
2020-07-22,13367.954769460626,8777.823016945085,17823.87332625471
2020-07-23,13288.991580481324,8707.34256625379,18072.447723885565
2020-07-24,12660.472146383254,8213.227844199915,17057.527231802655
2020-07-25,4518.265892829697,-84.87816670652195,9258.624080298025
2020-07-26,3077.5395738140533,-1174.2734152925714,7861.902754454939
2020-07-27,11982.828796563299,7578.596966639386,16409.055126009498
2020-07-28,14189.195926642005,9696.456428100615,18902.47479579219
2020-07-29,14332.096253826461,9355.755735260935,18753.475924166178
2020-07-30,14153.697837926466,9580.714521604481,18943.228149604554
2020-07-31,13412.369345718525,9012.515748117588,18115.728476681736
2020-08-01,5146.163864491826,613.9692272124727,9706.900608329437
2020-08-02,3572.6359628128785,-1149.3300248433543,8040.646662774582
2020-08-03,12338.862637969763,7758.444269802476,17105.511824741676
2020-08-04,14402.547662475208,10053.125062436915,18660.88444912411
2020-08-05,14401.832350843626,9645.567503793936,18742.698089582256
2020-08-06,14081.559338857578,9155.577323594476,18743.615484597005
2020-08-07,13202.704869080619,8561.094652839414,17807.821470292227
2020-08-08,4805.808734604664,-11.176180754972936,9192.530271237494
2020-08-09,3110.7402782893505,-1326.839816136637,7851.58247652864
2020-08-10,11766.672151488296,7304.370659189995,16525.652899112876
2020-08-11,13733.142324090952,9173.737146182024,18158.5181849136
